"363939472233467616_18538586","Washington","amali_panakure","18538586","184","130","66","","I can't believe I finally get to watch this man KD play in person. AHHH! í ½í¸³ @frutoo #OKC #kevindurant"
"363939254733115742_3853075","Washington","joseguinand","3853075","162","15","7","",""
"363940266776067661_189717430","Washington","1wonder_women1","189717430","113","79","41","","ĞŸĞ¾Ğ´Ğ°Ñ€Ğ¾Ğº Ğ¼Ğ°Ğ¼Ğ¾Ñ‡ĞºĞµ)"
"363938991665051265_7896788","Washington","kayetrill","7896788","255","255","231","","Everybody movin so damn fast..."
"363938925490445987_227209838","Washington","quietgiantkb","227209838","232","220","162","","Jilly & Badu know my soul."
"363940717653467837_5085583","Washington","theerichye","5085583","252","35","4","","The trip home is complete. í ½í¸‹"
"363940684480810120_3199770","Washington","kirsylovett","3199770","103","80","88","","We out here tryna function"
"363941208900739105_21427535","Washington","cort_brew","21427535","175","109","170","","Repeat to self."
"363940834358094342_264352841","Washington","ekmoscow","264352841","106","97","98","","Ğ‘Ğ°ÑˆĞµĞ½ĞºĞ°)"
"363940524768267177_18997977","Washington","kennyiko","18997977","195","248","96","","Sweating Like Shyt At The Gym!!"
"363941253151642799_723508","Washington","allisonrockey","723508","242","209","176","","So ridiculously in love with my ""new"" vintage bracelet @lindarockey you are too wonderful"
"363940266776067661_189717430","Washington","1wonder_women1","189717430","113","79","41","","ĞŸĞ¾Ğ´Ğ°Ñ€Ğ¾Ğº Ğ¼Ğ°Ğ¼Ğ¾Ñ‡ĞºĞµ)"
"363939834846641732_189717430","Washington","1wonder_women1","189717430","163","111","28","","Ğ”ĞµĞ²Ğ¾Ñ‡ĞºĞ¸ Ğ²ĞµÑ‡ĞµÑ€Ğ¾Ğ¼)"
"363940495559037489_8377883","Washington","alisonboring","8377883","64","43","40","","Inauguration preparation"
"363941092549689546_7301503","Washington","tevans3","7301503","251","231","108","","Our suite at the wizards game! And they are actually winning!!"
"363940522536340068_20062433","Washington","tali_x3","20062433","251","253","242","","Video calls with the baba @papiciroc miss him lots!"
"363940123693949367_230934743","Washington","charliedidnotbitme","230934743","215","197","175","","Lincoln memorial #usa#lincoln#memorial#america#beautiful#awesome"
"363940050728999002_22953925","Washington","emmaejb","22953925","83","55","93","","â„"
"363939254733115742_3853075","Washington","joseguinand","3853075","162","15","7","",""
"363938925490445987_227209838","Washington","quietgiantkb","227209838","232","220","162","","Jilly & Badu know my soul."
"363938991665051265_7896788","Washington","kayetrill","7896788","255","255","231","","Everybody movin so damn fast..."
"363939357407220311_20100675","Washington","ercranium","20100675","4","4","2","","#koreanwar monument"
"363939472233467616_18538586","Washington","amali_panakure","18538586","184","130","66","","I can't believe I finally get to watch this man KD play in person. AHHH! í ½í¸³ @frutoo #OKC #kevindurant"
"363940172052259257_8627775","Washington","mimeex3","8627775","2","0","26","","#okc vs. #wizards #basketballgame with #babe í ½í¸Š #basketball #verizoncenter #sports #l4l #followme #f4f #s4s #doubletap #bestoftheday"
"363939492958384189_2540331","Washington","cmfg","2540331","211","174","103","","Out here. @sniperjones35"
"363946394444250576_1452190","Washington","brandondoan","1452190","5","6","1","",""
"363943851210562006_7421525","Washington","_l0vebug","7421525","161","135","74","","#sundayfunday #guesswho #cousins #cambodian #family @mr_chevezo"
"363945167577849403_28718238","Washington","cello5150","28718238","126","102","68","","S/O KD gives you the long cross from top of the key & then goes & bangs dat bitch on Seraphin dumb ass"
"363943443661596254_232369616","Washington","madsekky","232369616","238","228","226","","vs. OKC"
"363941253151642799_723508","Washington","allisonrockey","723508","242","209","176","","So ridiculously in love with my ""new"" vintage bracelet @lindarockey you are too wonderful"
"363944813083627039_235078202","Washington","iamkulture","235078202","199","166","131","","Wizard cheerleaders getting low low low"
"363944038823696968_3033397","Washington","cocomic0","3033397","200","208","187","","#nando with the hubs and a good ol' friend of mine ... @gracembae :) egg custard rocks. Wings are hot. Fries are fresh. Garlic bread so good"
"363943072287019887_4887163","Washington","jpphilli","4887163","33","11","47","","Watch out world here they come! #k30day .words. #worldchangers"
"363942678985677260_183200741","Washington","kristinnicolemar","183200741","255","249","243","","Wizards are in the lead! #shocked #shortlived #theywillmessup"
"363940717653467837_5085583","Washington","theerichye","5085583","252","35","4","","The trip home is complete. í ½í¸‹"
"363940684480810120_3199770","Washington","kirsylovett","3199770","103","80","88","","We out here tryna function"
"363943173581964812_15554608","Washington","adamdsteel","15554608","33","28","32","","@zanimal_  on the merry go round #childsplay"
"363941653338132870_3853075","Washington","joseguinand","3853075","205","206","208","","#washington"
"363944863305131953_51347136","Washington","rbenigay","51347136","172","165","146","",""
"363944945646097615_16975564","Washington","mintynicoledao","16975564","141","139","140","","Day 7. #mileaday"
"363940834358094342_264352841","Washington","ekmoscow","264352841","106","97","98","","Ğ‘Ğ°ÑˆĞµĞ½ĞºĞ°)"
"363941092549689546_7301503","Washington","tevans3","7301503","251","231","108","","Our suite at the wizards game! And they are actually winning!!"
"363941674382392778_143595382","Washington","laura_klim","143595382","163","82","19","","#wizards vs #okc #nba @mcmswets"
"363944142263797341_252728568","Washington","frshprinceblair","252728568","255","255","228","","Let the festivities begin #BirthdayWeek"
"363941208900739105_21427535","Washington","cort_brew","21427535","175","109","170","","Repeat to self."
"363949497749597984_12205762","Washington","creolejdeux","12205762","166","225","219","","#regram"
"363947912700969720_50214687","Washington","brandographer","50214687","141","134","141","",""
"363947869598767610_245258189","Washington","cgirthy","245258189","255","255","239","",""
"363948148630290230_6289414","Washington","winnel","6289414","203","108","112","","#oldfriends #haverford"
"363948264724583210_259955467","Washington","brucewayne2013","259955467","161","141","106","","Durantula! Tall ass bastard!!"
"363948919417215440_37084101","Washington","vanetta_rather","37084101","253","240","232","","#thunderup"
"363946394444250576_1452190","Washington","brandondoan","1452190","5","6","1","",""
"363947012199906858_176178934","Washington","samelchaz","176178934","107","50","39","","That's a lot of crimson #getmeoutofhere"
"363946903622652786_11895515","Washington","toneywithane","11895515","255","255","166","","KD goin to work"
"363948831402546102_276897739","Washington","nickch0o","276897739","103","86","166","","Wizards vs okc yeahhh"
"363944863305131953_51347136","Washington","rbenigay","51347136","172","165","146","",""
"363946869894020793_189717430","Washington","1wonder_women1","189717430","184","181","86","","Ğ‘ĞµĞ»Ñ‹Ğ¹ Ğ´Ğ¾Ğ¼)"
"363947026055304590_41781412","Washington","i_am_darien","41781412","51","25","50","","Durantula"
"363948655435521553_46338526","Washington","jamesjos_photog","46338526","133","166","183","","Bird on a wire during Skins' v. Seahawks game."
"363945167577849403_28718238","Washington","cello5150","28718238","126","102","68","","S/O KD gives you the long cross from top of the key & then goes & bangs dat bitch on Seraphin dumb ass"
"363944945646097615_16975564","Washington","mintynicoledao","16975564","141","139","140","","Day 7. #mileaday"
"363946945347489124_212915418","Washington","monajuliet_","212915418","12","21","18","","New glaysuhhs âœŒí ½í±“"
"363947320808320706_258088850","Washington","shorty1395","258088850","150","95","135","","#washington #wizards #basketball"
"363947445620237006_189551719","Washington","superlameagain","189551719","45","15","69","","@amyccompton 's boyfriend."
"363947386604749766_10505127","Washington","itsandrewsmith","10505127","90","79","93","","Durant returns home to Washington"
"363951826741196714_14969316","Washington","davegel0301","14969316","83","65","55","","#tbt? it's not even Tuesday @stellajew"
"363951715708477113_28718238","Washington","cello5150","28718238","215","209","177","","Dis nigga makes dis shit look too easy #KDforMVP"
"363952133592376972_233130312","Washington","sethreznik","233130312","45","113","194","","I only like food based puns."
"363952068731418858_2940077","Washington","llbrock","2940077","233","182","90","","Countryman pizza"
"363951215999829515_19723952","Washington","mirijanee","19723952","75","11","45","","Zip zip zippin on some wizardszzzz @mackmm #basketball #game"
"363951904771151850_184858460","Washington","damurph18","184858460","153","136","129","","#nba. #Washington"
"363951445770632947_189717430","Washington","1wonder_women1","189717430","142","35","53","",""
"363949363174950345_28369464","Washington","davidleonte","28369464","254","255","249","","Regram @lee_supreme This right here is the god awful truth and we kno first hand bro! #unfair #relationships #guyfriends #flirting #homegirls #rules #trust #onesided #scandalous #hoes #tricks"
"363949497749597984_12205762","Washington","creolejdeux","12205762","166","225","219","","#regram"
"363949689441297983_11779296","Washington","pitbul_inaskirt","11779296","27","33","33","","#9 you know who it is!! SERRGGEE í ½í¸í ½í¸í ½í¸"
"363950794092363318_194036582","Washington","dancemotionusa","194036582","5","3","66","","#dancelife #dancemotion @soflossii @krowzo@yahoo"
"363948831402546102_276897739","Washington","nickch0o","276897739","103","86","166","","Wizards vs okc yeahhh"
"363951508199217446_11552981","Washington","robert_zhong","11552981","102","62","99","",""
"363948919417215440_37084101","Washington","vanetta_rather","37084101","253","240","232","","#thunderup"
"363949413948243495_194036582","Washington","dancemotionusa","194036582","73","4","25","","#dancelife @soflossii"
"363948655435521553_46338526","Washington","jamesjos_photog","46338526","133","166","183","","Bird on a wire during Skins' v. Seahawks game."
"363950515490166129_17401828","Washington","errosays","17401828","85","47","38","","Blanton's, thanks to @pmcasey2"
"363951922413726839_184704762","Washington","panda_porn","184704762","159","124","92","","Tommy gun"
"363948564259048578_220057850","Washington","sarajchoe","220057850","250","234","182","","thanks @matteslee!"
"363948964036634051_38474504","Washington","scott_orz","38474504","202","177","155","","American spirit #lincoln #lincolnmemorial #memorial #temple #washington #washingtondc #capital #capitalcity #USA #america #american #statue #americanspirit #peaceful #huge #presidentofusa #washingtonmonument #capitol #uscapitol #xue891 #instamood #instagood"
"364032476493109664_1886269","Washington","sarahnotforever","1886269","210","215","219","","You can't see the sign but it is the chorus and it goes ""we all love peanut butter""!! @robertegger  love yah"
"364029273849435335_29197276","Washington","nskarp","29197276","162","127","105","","Happy birthday to my best friend! @ebschulman"
"364030495317042218_232369616","Washington","madsekky","232369616","43","29","42","","W beat KD#beal"
"364026456368861777_45488443","Washington","jo2785","45488443","186","164","123","","The #Washington Monument #usa #iphonesia #iphoneonly #instagood #instamood #love"
"364027577766367839_10218443","Washington","anisbaker","10218443","136","131","125","","Wizards"
"364026807891332968_51201346","Washington","peterlozito","51201346","31","25","51","","Inauguration time!!"
"364026290162533783_269170672","Washington","1flyelectrician","269170672","102","37","41","","Nice after gym meal"
